comments,stars
你以为你已经很爱很爱妈妈了 但妈妈远比你想象中更爱更爱更爱你 ,2
有笑有泪的 不明白陈赫这个人物有什么作用 完全多余,2
贾玲 我给你们讲个笑话 你们别哭 ,2
 我宝 那句出来的时候真的直接泪奔 我以为只有我回到了1981 我以为我可以牺牲我自己改变你往后的命运 我以为你可以更幸福的 我没想到你愿意过的就是摊上我的这一生 ,2
国产 喜剧 催泪 烂片 这是豆瓣一贯的规律 因此我知道自己的评分一定不会公允 这里有掺杂太多我的主观感受 有生以来第一次在电影院哭得泣不成声  昨晚是除夕 我和妈妈大吵了一架 她气得直骂我没良心 白眼狼 我爸也心寒地把我妈牵到楼下 说不指望以后让我给他们养老  凌晨的时候 我给我妈朋友圈的拜年视频点了个赞 并发给她一个拜年红包 和她说 今晚我脾气不好 你别往心里去 我妈收下红包 给我发来好多幸福快乐的祝福  今天看到这电影 许多情节点都让我泪眼婆娑 直到女儿明白真相后 一路奔跑的那一段蒙太奇 我极力掩着眼泪 把哭声压到最小  观影是一个创作者通过作品感染观众的过程 无论它是否合乎艺术规律 只要能让观众感动 它就值得那个观众为它叫好 不必因为它是国产片就舍不得掌声 ,2
能理解贾玲执意拍这部电影 在惹妈妈生气了十几年终于有能力回报妈妈的时候 妈妈离自己而去 这种无能无力的遗憾感实在是太难受了 她不是因为想当导演拍了这部电影 而是因为想拍这部给妈妈的电影才当导演 今年没回家过年 想给我妈打个电话 告诉她等等我 过两天就回去看她了 ,2
跟唐人街探案三的分数相比 很明显观众们评判电影的标准不仅在于你拍的好坏 而更在于你拍的态度是否真诚,2
真诚打动内心 没办法客观评价,2
感谢编剧没有让李焕英以少胜多赢下排球赛 这个剧其实好就好在它的质朴情感上 没有什么输赢胜负 也没有什么人生逆袭改变命运 穿越回来只为了让你开心 不完美的小人物在闪闪发光 ,2
 你好 李焕英  X   关于妈妈用异世界转生工具去参加试炼这档子事  X   Hi mom     神作 绝对的神作 这不比 成神之日 催泪 这不比 半妖的夜叉姬 用心 这不比 唐人街探案3 悬疑  2 17补 3刷了 这将会在中国电影届刻下一座里程碑 这必定影史留名  2 20补 5刷了  我宝  ,2
在电影院哭得稀里哗啦 隔壁座的小姐姐也在哭 她问我 想妈了 我说 嗯 小姐姐 你也春节没回家 我指了指前面 我妈坐第三排 我俩没买着连号的座 这下小姐姐哭得更凶了 ,2
笑后有泪 温暖感动却不过分煽情 它正是这个春节最需要的电影 期待贾玲和沈腾这两位喜剧界扛把子的合作已经很久了 这部终于让愿望达成 两位除了保有鲜明的个人特色外 还催出了不一样的化学效应 尤其是沈腾 这次塑造的角色非常另类 最难得的是 本片还塑造了一个独立而自强的母亲形象 也在提醒我们 她是母亲 但她更是自己 身为儿女一定不要忘记这一点 在她们对我们有求必应的同时 我们更要尊重她们作为一个独立的人的存在 而对于今年过年不能回家的我来说 看完后更加想念母亲了 她也是从片中那个时代的国营单位走出来的 想要回家陪她再看一次 她一定会觉得像回到自己的年轻时代 希望还能赶得上 ,2
意识到妈妈什么都知道的时候 我哭到抽搐 贾玲太有才了 在读你和我时就在想 逝去的父母是靠儿女的记忆继续活着 而如果你可以写作 或者像贾玲一样用一部电影来纪念 那他们就一直活着 他们的精彩也都没有被忘却 这是贾玲给自己的交代 我不停的想 到底我不能接受的是什么 如果她的一生在自己活着时就去全都熠熠闪光 那死去时也不能称之为遗憾 只是命运 ,2
这扑面而来的复古系笑感啊哈哈哈哈哈 感觉是属于母上大人的时代精彩  片子笑点暖点可可爱爱 冷不丁就还让人会鼻头一酸 不得不讲啊 old school还是很触动我的 这亲情治愈系的喜剧是妥妥符合春节档可以约上爸妈一起看电影的了 毕竟给爸妈安利贾玲 沈腾真的毫不费力哈哈哈  然后更重要的是 贾玲镜头下的张小斐 灰常美啊 不单是女儿滤镜 这个女性视角下的女性 让人觉得是这般温暖且充满力量呢,2
最戳我的就是在知道了48岁的李焕英是穿越回去的后 想起那句 我这一辈子过得挺幸福的 怎么就没人相信呢  ,2
我以为是我在为你圆梦 其实还是你陪着我做了一场好梦 ,2
这是今年春节档 我最最想看的一部电影  你好李焕英 的小品 是千禧年之后我心目中最佳小品前三 即便珠玉在前 当得知要影视化的时候 依然期待爆棚 作为贾玲的导演处女座 这部作品是值得肯定的 笑点泪点恰到好处 没有硬搞笑也没有刻意煽情 子欲养而亲不待 她在讲一个珍惜亲情的故事 也在讲当代女性意识的觉醒 不鼓吹生育 不鼓吹婚姻 而是让我们看到 任何一个女性在成为妈妈之前 第一个身份首先应该是她自己 祝天下所有 李焕英 永远快乐 ,2
我们都想为所爱的人做点儿什么 有人写书 有人弹唱歌 有人拍剧 如果这个人不在了  更想好好明证他 她曾在这世界认真用力活过 贾玲选择了留下这一部电影 我喜欢贾玲身上有一种破裂和恸哭之后重新缝补起来的浑然而豁朗的快乐感 这种 笑着活下去 的乐天姿态渗透在电影里 就是你即使知道它的结局是伤感的 依然为过程中那些欢乐的时刻而真的开怀 它温暖 治愈 真挚 哀而不伤 而无论是小品还是电影 都让我在欢笑时眼眶湿湿 贾玲在电影里 终于与她的母亲偿还了一场重逢的梦  这便是世间文艺作品的力量吧 让我们与我们生命里的 李焕英 们都能有一个机会轻轻道念一声 你好啊 我很好 ,2
喜剧的内核是悲剧 这封贾玲写给妈妈的情书 也是中国很多妈妈的写照 有时候真的觉得 她的后半生似乎一无所有 除了我 ,2
贾玲说她把心掏出来给观众看了 我想说 我看到了 ,2
最让人泪崩的是 我知晓未来所发生的一切 依然选择你这件小棉袄来陪我走过一生 ,2
你以为你已经很爱很爱妈妈了 但妈妈远比你想象中更爱更爱更爱你,2
笑的不尴尬 哭的脑壳疼 ,2
